2025-06-19 21:56:50.980038 | da | Easy | 8
2025-06-19 22:04:27.702173 | nick | Easy | 13
2025-06-19 22:36:30.346277 | ca | Medium | 7
2025-06-19 22:37:33.551917 | ca | Hard | 8
2025-06-19 22:37:38.241470 | ca | Hard | 8
2025-06-19 22:37:41.248935 | ca | Hard | 8
2025-06-19 22:46:08.361881 | nick | Easy | 12
2025-06-19 22:47:22.011061 | nick | Easy | 13
2025-06-19 22:47:24.845679 | nick | Easy | 13
2025-06-19 22:59:12.709829 | nick | Easy | 6
2025-06-19 23:02:33.558412 | nick | Hard | 6
2025-06-20 13:48:03.016687 | nick | Easy | 11
2025-06-20 13:49:35.648190 | nick | Easy | 15
2025-06-20 13:55:51.673209 | nick | Easy | 12
2025-06-20 13:56:14.805896 | nick | Easy | 1
2025-06-20 13:56:14.977345 | nick | Easy | 1
2025-06-20 13:56:15.166242 | nick | Easy | 1
2025-06-20 13:56:15.399839 | nick | Easy | 1
2025-06-20 13:56:15.525270 | nick | Easy | 1
2025-06-20 13:56:15.618641 | nick | Easy | 1
2025-06-20 13:56:21.411044 | nick | Easy | 1
2025-06-20 13:56:22.067203 | nick | Easy | 1
2025-06-20 13:56:24.267189 | nick | Easy | 1
2025-06-22 18:12:08.517421 | Alicja | Medium | 10
2025-06-22 18:12:16.748510 | Alicja | Hard | 10
2025-06-22 18:12:19.036378 | Alicja | Hard | 10
2025-06-22 18:13:07.760373 | Olek | Hard | 7
2025-06-22 18:13:11.936582 | Olek | Hard | 7
2025-06-22 18:13:18.198906 | Olek | Hard | 7
2025-06-22 18:13:19.265310 | Olek | Hard | 7
2025-06-22 18:13:19.772468 | Olek | Hard | 7
2025-06-22 18:13:20.330891 | Olek | Hard | 7
2025-06-22 18:13:20.584778 | Olek | Hard | 7
2025-06-22 18:20:04.366689 | Alicja | Easy | 3
2025-06-22 18:20:08.191378 | Alicja | Easy | 3
2025-06-22 18:20:08.409204 | Alicja | Easy | 3
2025-06-22 18:20:08.561389 | Alicja | Easy | 3
2025-06-22 18:20:08.680463 | Alicja | Easy | 3
2025-06-22 18:20:09.594404 | Alicja | Easy | 3
2025-06-22 18:20:09.857120 | Alicja | Easy | 3
2025-06-22 18:20:10.001656 | Alicja | Easy | 3
2025-06-22 18:20:10.134039 | Alicja | Easy | 3
2025-06-22 18:20:11.156301 | Alicja | Easy | 3
2025-06-22 18:20:11.303907 | Alicja | Easy | 3
2025-06-22 18:20:11.454444 | Alicja | Easy | 3
2025-06-22 18:20:11.596267 | Alicja | Easy | 32025-06-22 18:41:00.624832 | Filip | Easy | 0
2025-06-22 18:41:00.743639 | Filip | Easy | 0
2025-06-22 18:41:00.882304 | Filip | Easy | 0
2025-06-22 18:41:00.920894 | Filip | Easy | 0
2025-06-22 18:41:01.116090 | Filip | Easy | 0
2025-06-22 18:41:01.220659 | Filip | Easy | 0
2025-06-22 18:41:01.252674 | Filip | Easy | 0
2025-06-22 18:41:01.275451 | Filip | Easy | 0
2025-06-22 18:41:01.363246 | Filip | Easy | 0
2025-06-22 18:41:01.421820 | Filip | Easy | 0
2025-06-22 18:41:01.571157 | Filip | Easy | 0
2025-06-22 18:41:01.590551 | Filip | Easy | 0
2025-06-22 18:41:01.796066 | Filip | Easy | 0
2025-06-22 18:41:01.987284 | Filip | Easy | 0
2025-06-22 18:41:19.384348 | dasdsad | Easy | 0
2025-06-22 18:41:19.609595 | dasdsad | Easy | 0
2025-06-22 18:41:19.635577 | dasdsad | Easy | 0
2025-06-22 18:41:19.859314 | dasdsad | Easy | 0
2025-06-22 18:41:20.123610 | dasdsad | Easy | 0
2025-06-22 18:41:20.202849 | dasdsad | Easy | 0
2025-06-22 18:41:20.323948 | dasdsad | Easy | 0
2025-06-22 18:41:54.725434 | dadsad | Easy | 1
2025-06-22 18:41:54.820518 | dadsad | Easy | 1
2025-06-22 18:41:54.882167 | dadsad | Easy | 1
2025-06-22 18:41:55.057890 | dadsad | Easy | 1
2025-06-22 18:41:55.093658 | dadsad | Easy | 1
2025-06-22 18:41:55.133263 | dadsad | Easy | 1
2025-06-22 18:41:55.303630 | dadsad | Easy | 1
2025-06-22 18:41:55.460349 | dadsad | Easy | 1
2025-06-22 18:41:55.589376 | dadsad | Easy | 1
2025-06-22 18:42:02.323246 | dadsad | Easy | 1
2025-06-22 18:42:02.546034 | dadsad | Easy | 1
2025-06-22 18:42:02.679268 | dadsad | Easy | 1
2025-06-22 18:42:19.478593 | dsadas | Easy | 0
2025-06-22 18:42:19.866992 | dsadas | Easy | 0
2025-06-22 18:42:19.945161 | dsadas | Easy | 0
2025-06-22 18:42:19.990897 | dsadas | Easy | 0
2025-06-22 18:43:32.733285 | Filip | Easy | 0
2025-06-22 18:43:33.216674 | Filip | Easy | 0
2025-06-22 18:43:33.387749 | Filip | Easy | 0
2025-06-22 19:08:34.712182 | Ola | Easy | 14
